,RealCoupon,ModelCoupon,PercentError,,RealCoupon,ModelCoupon
10/8/2013,3.22228,3.295820962,0.022822648,10/7/2013,3.31522,3.415847677
10/7/2013,3.20864,3.305929456,0.030321088,10/4/2013,3.31439,3.436796266
10/4/2013,3.20723,3.329181261,0.038023859,10/3/2013,3.28508,3.399788529
10/3/2013,3.1759,3.292921812,0.036846819,10/2/2013,3.30787,3.423251288
10/2/2013,3.19661,3.316374773,0.037466182,10/1/2013,3.31544,3.443972346
10/1/2013,3.20534,3.335409782,0.04057909,9/30/2013,3.29525,3.413149413
9/30/2013,3.17175,3.305974847,0.042318861,9/27/2013,3.29489,3.414578204
9/27/2013,3.15989,3.306168264,0.046292201,9/26/2013,3.32335,3.418502472
9/26/2013,3.18577,3.308332632,0.038471902,9/25/2013,3.29616,3.385276988
9/25/2013,3.157,3.275435414,0.037515177,9/24/2013,3.34069,3.424409348
9/24/2013,3.21809,3.313067757,0.029513704,9/23/2013,3.4029,3.470425091
9/23/2013,3.28133,3.359471927,0.023814102,9/20/2013,3.43161,3.494905848
9/20/2013,3.30469,3.382047432,0.023408378,9/19/2013,3.42348,3.515620081
9/19/2013,3.28856,3.403360112,0.03490893,9/18/2013,3.40411,3.481140543
9/18/2013,3.28389,3.368922448,0.025893817,9/17/2013,3.5863,3.641861285
9/17/2013,3.45524,3.521847084,0.019277122,9/16/2013,3.60503,3.67866463
9/16/2013,3.46942,3.555150039,0.024710193,9/13/2013,3.65073,3.728265898
9/13/2013,3.50939,3.598218277,0.0253116,9/12/2013,3.6663,3.74453508
9/12/2013,3.52262,3.615496887,0.026365855,9/11/2013,3.66718,3.767886489
9/11/2013,3.52245,3.638526611,0.032953374,9/10/2013,3.70256,3.811603984
9/10/2013,3.56867,3.679333962,0.031009861,9/9/2013,3.64949,3.763755728
9/9/2013,3.51933,3.636550657,0.033307663,9/6/2013,3.72124,3.804987973
9/6/2013,3.60074,3.671938766,0.019773371,9/5/2013,3.7867,3.848477208
9/5/2013,3.66763,3.708045519,0.011019519,9/4/2013,3.67957,3.762085498
9/4/2013,3.53285,3.629598163,0.027385302,9/3/2013,3.62303,3.71835641
9/3/2013,3.47314,3.590738874,0.033859526,8/30/2013,3.51811,3.635979555
