"loanID","HPA2Yr","currentValue","UPB","CLTV","BaseSev"
"104574214715",1.12833214695584913878851931,321640.00,311570.87,0.96869440989926626,-0.07
"104579834816",0.97115219883765241476496245,88727.00,82148.35,0.92585515119411227,0.70
"104596081885",0.99201295553694533113084313,187191.00,182468.96,0.97477421457228178,0.48
"104629266581",0.93606601011444889844874077,115659.41,107520.85,0.92963339515565573,0.55
"104649123565",0.94822795243141292829388908,122472.84,114057.38,0.93128713272265099,0.56
"104656921604",0.84177581221296138799115495,154736.00,142465.75,0.92070203443284045,0.26
"104662425093",0.88778277037496126433219708,53622.00,50424.57,0.94037092984222893,
"104718058777",0.91832234814358196216036796,303448.75,300514.29,0.99032963556448988,0.28
"104739335562",0.99663593046853878797332906,149196.66,135014.94,0.90494612949110254,0.12
"104743217259",0.90454242029307988175085031,155845.16,154290.96,0.99002728092421991,0.32
"104752492384",0.85483970826780810208186299,134335.00,127784.58,0.95123817322365727,
"104756878430",0.95253295746621341513970649,125558.37,117358.40,0.93469196836499231,0.73
"104761308513",0.99111321061100661506799517,425403.05,398334.69,0.93637008479370328,0.34
"104851408711",0.84677620558149481412838150,60491.66,60250.06,0.99600606100080573,0.40
"104864053913",1.15832762165867032213845099,50915.33,47946.93,0.94169928781763763,0.40
"104909719960",1.00126871352448617102258310,149917.04,148870.24,0.99301747152958729,0.27
"104933925444",0.93378409885754255071112147,89029.11,84899.65,0.95361674400653898,0.84
"104939543409",1.01816545606479400676924351,125171.42,119027.40,0.95091515299578769,0.53
"104943912066",0.86847025603846300606708131,95680.00,94718.43,0.98995014632107023,0.94
"104979708691",1.05747507205088204978556336,69579.99,67529.95,0.97053693166670475,0.44
"105007899478",0.89947800149142431021625652,51468.00,50707.90,0.98523160021761094,0.88
"105025793917",0.89487331456512075863090828,33058.66,29929.00,0.90533010109907661,0.99
"105034817009",0.82095223547158361031499524,312466.00,308000.00,0.98570724494825036,0.88
"105043504898",0.86401221517500587268029128,185263.50,167190.00,0.90244435628172845,0.38
"105053610169",0.94726970233238213859749453,177631.00,169412.38,0.95373206253412974,0.13
"105054403823",1.09483392122281011169900058,182222.72,167020.20,0.91657176448688725,0.01
"105074612510",0.87111196975133165898490326,322692.91,297724.34,0.92262436134713960,0.34
"105115535825",0.92165681909543705645592174,362296.00,354331.50,0.97801659416609623,0.24
"105144041147",0.79266728350927388582739253,133779.25,126978.43,0.94916386509866066,0.31
"105147950430",0.91023400698981917641695790,361739.74,326107.37,0.90149722007319405,0.09
"105161180935",0.92122234477389107578707643,71928.00,66843.72,0.92931431431431431,0.91
"105170734283",0.88717092940094676974423594,303283.50,279770.57,0.92247210942896662,0.25
"105185723054",0.98889776693721350771689305,92161.77,90065.88,0.97725857478648684,0.54
"105204224805",1.23635717505113678126898198,286012.50,277995.04,0.97196814824526900,0.27
